,project_name
0,https://github.com/Jurily/rust-checked-cast
1,https://github.com/daggerbot/mm_math
2,https://github.com/qrlpx/qdowncast
3,https://github.com/alfiedotwtf/file-lock
4,https://github.com/pixel27/shareable
5,https://github.com/LinusU/rust-emoji-commit-type
6,https://github.com/clarcharr/extra-default
7,https://github.com/Daggerbot/aurum
8,https://github.com/kchmck/subslice_index
9,https://github.com/TeXitoi/par-iterator-type
10,https://github.com/WatchDG/rust-converter
11,https://github.com/ZakCodes/fast_io
12,https://github.com/purpliminal/rust-iterslide
13,https://github.com/Jurily/rust-allocator
14,https://github.com/purpliminal/rust-dotenv
15,https://github.com/jxny/julius-rs
16,https://github.com/jemcroft/rust-assimp
17,https://github.com/daggerbot/termbox-rs
18,https://github.com/CarlColglazier/t
19,https://github.com/LeoTestard/rustlex
20,https://github.com/daggerbot/mm_video
21,https://github.com/pzol/bare
22,https://github.com/richo/tinfo-rs
23,https://github.com/daggerbot/zlib-rs
24,https://github.com/daggerbot/mm_image.rs
25,https://github.com/gordon1992/rust_mpi
26,https://github.com/cosmos-io/rust-cosmos
27,https://github.com/qrlpx/twre_ecs
28,https://github.com/nerdopoly/terminal-rs
29,https://github.com/rustyhorde/logger
30,https://github.com/signal-analytics/nickel.rs
31,https://github.com/ceram1/appcore
32,https://github.com/cosmos-io/curiosity
33,https://github.com/ghmlee/keymaker
34,https://github.com/lgvz/rust-x11
35,https://github.com/csherratt/timebomb
36,https://github.com/DrKwint/sparse-rs
37,https://github.com/panicbit/augeas_sys
38,https://github.com/gfx-rs/gfx_pipeline
39,https://github.com/zcdziura/shaman
40,https://github.com/terminalcloud/rust-lru2
41,https://github.com/sourust/rust-pm
42,https://github.com/borntyping/rust-riemann_cli
43,https://github.com/alfiedotwtf/travelling_salesman
44,https://github.com/creekware/rust-gml
45,https://github.com/dhuseby/torrc
46,https://github.com/alfiedotwtf/metaheuristics
47,https://github.com/tobytailor/mongo-rs
48,https://github.com/tobytailor/stripe-rs
49,https://github.com/patrickjm/coinbaser
50,https://github.com/rustyhorde/barnacl
51,https://github.com/rustyhorde/barnacl-sys
52,https://github.com/jojonv/win32_filetime_utils
53,https://github.com/SDBlumire/pair-stack
54,https://github.com/arcnmx/pos-rs
55,https://github.com/tailhook/switchboard
56,https://github.com/meh/rust-lzma2
57,https://github.com/qrlpx/qcollect
58,https://github.com/qrlpx/qindex_multi
59,https://github.com/qrlpx/collection_traits
60,https://github.com/qrlpx/qcollect-traits
61,https://github.com/aji/rust-theater
62,https://github.com/ruabmbua/hidapi_rust
63,https://github.com/maidsafe/memory_map
64,https://github.com/tickbh/event_rust
65,https://github.com/qrlpx/qregister
66,https://github.com/cmr/blosc-sys
67,https://github.com/hanjaelee/rust-http
68,https://github.com/stouset/noise
69,https://github.com/sebasgarcep/dnssd-rs
70,https://github.com/naicode/reep
71,https://github.com/naicode/reep-bodyparser-rustcdecodable
72,https://github.com/naicode/reep-id-string
73,https://github.com/naicode/reep-optionparser-urlencoded
74,https://github.com/leeopop/FPS
75,https://github.com/ChrisDavison/inferfs
76,https://github.com/erkl/ev
77,https://github.com/dtrebbien/fa-rs
78,https://github.com/qrlpx/qecs-core
79,https://github.com/qrlpx/qecs
80,https://github.com/KyleMayes/easy-plugin
81,https://github.com/SDBlumire/flywheel
82,https://github.com/Undeterminant/trunc
83,https://github.com/nuew/npacked
84,https://github.com/slapresta/rust-dotenv
85,https://github.com/conradkleinespel/rustastic-am
86,https://github.com/ruestio/sequel
87,https://github.com/Sean1708/userrror
88,https://github.com/Undeterminant/prefix-map
89,https://github.com/birkenfeld/gr-rs
90,https://github.com/nekobcn/isbnid-rs
91,https://github.com/adolfosilva/carto
92,https://github.com/bpowers/liballoc_hoard
93,https://github.com/mechaxl/simple_lsystems
94,https://github.com/deepthought/ordered_zip
95,https://github.com/jeandudey/uri-rs
96,https://github.com/rusoto/botocore_parser
97,https://github.com/rundrop1/transcriptome_translator
98,https://github.com/ernestrc/presto-rs
99,https://github.com/Kerosene2000/calco-rs
100,https://github.com/pixel27/fe_session
101,https://github.com/CasualX/scanner-rs
102,https://github.com/jeandudey/jsonrpc-v1
103,https://github.com/minora-oss/bolt
104,https://github.com/pixel27/flexi_config
105,https://github.com/kellenfujimoto/beanstalkd-queue
106,https://github.com/TileHalo/fiber
107,https://github.com/dylanmckay/plugger-core
108,https://github.com/nathansizemore/libsocket
109,https://github.com/largo-rs/rustonlargo
110,https://github.com/kdy1997/rust-inflect
111,https://github.com/theban/pass
112,https://github.com/douglarek/rist
113,https://github.com/Immington-Industries/way-cooler-client-libs
114,https://github.com/Immington-Industries/way-cooler-client
115,https://github.com/pixel27/valid_toml
116,https://github.com/indiv0/tumult
117,https://github.com/casey/nine
118,https://github.com/hadeaninc/stdlib-rust
119,https://github.com/hadeaninc/bindings-rust
120,https://github.com/hadeaninc/deploy-rust
121,https://github.com/ikalnitsky/vcstatus
122,https://github.com/KyleMayes/crustacean
123,https://github.com/KyleMayes/synthax
124,https://github.com/BurntSushi/snap
125,https://github.com/kittenspace/wd40
126,https://github.com/mbr/pcast
127,https://github.com/dono-app/dono-crate
128,https://github.com/jameshurst/rss-rs
129,https://github.com/CalmBit/oxidation
130,https://github.com/ernestrc/ldiff
131,https://github.com/heartsh/prll-ri
132,https://github.com/s3bk/woot
133,https://github.com/winding-lines/rustli
134,https://github.com/clarcharr/rand-pop
135,https://github.com/bright-star/prime-suspects
136,https://github.com/AlgoTradingHub/kernel
137,https://github.com/dtolnay/post-expansion
138,https://github.com/dylanmckay/awpack
139,https://github.com/serde-rs/yaml
140,https://github.com/sjeohp/rust-physics
141,https://github.com/ticki/playpen
142,https://github.com/vtduncan/canonical_json
143,https://github.com/clarcharr/multistr
144,https://github.com/andete/philips_hue_client
145,https://github.com/lambdastackio/http2hpack
146,https://github.com/fwrs/sigil
147,https://github.com/kdy1997/must
148,https://github.com/clarcharr/parse-hosts
149,https://github.com/clarcharr/swc-hosts
150,https://github.com/liamstask/exif-rs
151,https://github.com/afonso360/discogs-rs
152,https://github.com/sebasgarcep/crates-api
153,https://github.com/heartsh/cpr
154,https://github.com/kofron/ophir-rs
155,https://github.com/quadrupleslap/vice
156,https://github.com/nfjinjing/mtcp
157,https://github.com/ramn/currency-rs
158,https://github.com/AlexanderThaller/csvstore
159,https://github.com/lambdastackio/httpd
160,https://github.com/ostrokach/uniparc_xml_parser
161,https://github.com/Redrield/varint-rs
162,https://github.com/dominotree/rs-ipfix
163,https://github.com/clarcharr/bow
164,https://github.com/vmchale/brainh-ck
165,https://github.com/KyleMayes/ktm5e-dice
166,https://github.com/ekicyou/combup-rs
167,https://github.com/ekicyou/dcombu-rs
168,https://github.com/hdevalence/dalek-credentials
169,https://github.com/vvanders/netcode-rust
170,https://github.com/bia-centric/docker4rst
171,https://github.com/alfiedotwtf/is_prime
172,https://github.com/clarcharr/collapse-crate
173,https://github.com/th0rex/libcapstone
174,https://github.com/clarcharr/len-trait
175,https://github.com/z1mvader/oozie
176,https://github.com/clarcharr/push-trait
177,https://github.com/clarcharr/pop-trait
178,https://github.com/superscale/bugsnag-rs
179,https://github.com/ChrisCates/iron_json
180,https://github.com/cedenday/newton
181,https://github.com/s3bk/tuple
182,https://github.com/vmchale/oauth-client-rs-fix
183,https://github.com/heartsh/gpu-sw
184,https://github.com/mehcode/telegram-rs
185,https://github.com/KolesnichenkoDS/colored_logger
186,https://github.com/keringar/moderato-rs
187,https://github.com/heartsh/crast
188,https://github.com/anthonynguyen/asdf
189,https://github.com/RomanAkberov/smaragd
190,https://github.com/jamespole/rust-wireless
191,https://github.com/anthonynguyen/dok
192,https://github.com/SilverWingedSeraph/mlem-asm
193,https://github.com/dignati/baduk
194,https://github.com/briansmith/kt
195,https://github.com/andrew-lucker/Lattice
196,https://github.com/legolord208/rsbot
197,https://github.com/z1mvader/quackin
198,https://github.com/afonso360/nom-operator
199,https://github.com/Ralvke/ltg_push
200,https://github.com/murarth/gumdrop_derive
201,https://github.com/portify/fortune
202,https://github.com/WatchDG/rust-base16
203,https://github.com/termoshtt/rand-extra
204,https://github.com/WatchDG/rust-base32
205,https://github.com/clarcharr/iter-trait
206,https://github.com/sevagh/surge
207,https://github.com/quadrupleslap/pm
208,https://github.com/stepancheg/tokio-tls-api
209,https://github.com/KeenS/transaction
210,https://github.com/cedenday/rshare
211,https://github.com/congredi/congredi.rs
212,https://github.com/ethereumproject/esvm
213,https://github.com/autumnai/greenglas
214,https://github.com/ryankurte/rust-rfcalcs
215,https://github.com/jashank/rust-webkitgtk-sys
216,https://github.com/jashank/rust-webkitgtk
217,https://github.com/bgbahoue/he-di
218,https://github.com/Redrield/wiringpi-sys
219,https://github.com/DevOrc/randnum
220,https://github.com/afonso360/llang
221,https://github.com/clarcharr/get-trait
222,https://github.com/gpit2286/lol-api-rs
223,https://github.com/golddranks/r2d2-testconnection
224,https://github.com/eqv/interval-tree
225,https://github.com/derekdreery/dvi
226,https://github.com/isislovecruft/subtle-derive
227,https://github.com/cedenday/speck-cbc
228,https://github.com/avinashbot/glider
229,https://github.com/saffronsnail/dev-cmd
230,https://github.com/losfair/cervus
231,https://github.com/ZakCodes/neural_network
232,https://github.com/ZakCodes/neat
233,https://github.com/thenewwazoo/lpc177x-8x
234,https://github.com/debris/plain_hasher
235,https://github.com/lucaskolstad/randtest
236,https://github.com/ZakCodes/open_ai
237,https://github.com/s3bk/bullet
238,https://github.com/WatchDG/rust-telegram-bot
239,https://github.com/clarcharr/rust-version
240,https://github.com/krl/aovec
241,https://github.com/leotindall/getaddrs-rs
242,https://github.com/sevagh/erased-serde-json
243,https://github.com/MonkeyLog/BrewStillery
244,https://github.com/Kixunil/struct_deser-derive
245,https://github.com/zonyitoo/sodium-rs
246,https://github.com/stevedonovan/cargo-codegen
247,https://github.com/bbrown683/s2client-rs
248,https://github.com/skade/crates-io-changes
249,https://github.com/oftlisp/oftlisp-rs
250,https://github.com/Elzair/filearcho_rs
251,https://github.com/tdoylend/topaz
252,https://github.com/savage13/seedlink
253,https://github.com/tdoylend/aventurine
254,https://github.com/faircodeio/cargo-faircode
255,https://github.com/wez/nrf52svd
256,https://github.com/alexcrichton/futures-await-synom
257,https://github.com/feddasch/koi
258,https://github.com/AtsukiTak/future-pubsub
259,https://github.com/LPGhatguy/undulate
260,https://github.com/AvnSgt/bitcheck
261,https://github.com/asynts/query
262,https://github.com/prasannvl/rs-gluons
263,https://github.com/jguyet/overrideGetterSetter
264,https://github.com/Ralvke/merkle_test
265,https://github.com/stevebob/terminal_colours
266,https://github.com/spirom/docrypto
267,https://github.com/nottxy/r2d2-redis
268,https://github.com/miscreant/minc
269,https://github.com/maidsafe/ifaddrs
270,https://github.com/LEXUGE/XCH
271,https://github.com/ubnt-intrepid/finchers-json
272,https://github.com/krl/thex
273,https://github.com/tureus/rust-syslog-rfc3164
274,https://github.com/Honey-Be/wlc
275,https://github.com/bkonzUNOmaha/gameboy_opengl
276,https://github.com/DominoTree/rs-af_packet
277,https://github.com/rustyhorde/repomon-config
278,https://github.com/heartsh/rna-ss-params
279,https://github.com/bongo227/rust-unify
280,https://github.com/bosondata/crfsuite
281,https://github.com/rhysd/uni
282,https://github.com/heartsh/rna-algos
283,https://github.com/jvns/rbspy
284,https://github.com/opitykubusiem/flexer
285,https://github.com/heartsh/bio-seq-algos
286,https://github.com/Sogomn/worley-noise
287,https://github.com/kherrera-ebsco/cts
288,https://github.com/baspalmer/sencha
289,https://github.com/laibulle/phoenix.rs
290,https://github.com/stephaneyfx/enum-iterator-derive
291,https://github.com/x1tan/injector
292,https://github.com/tarcieri/yubihsm-client
293,https://github.com/MindFlavor/azure_sdk_core
294,https://github.com/void-dragon/logging
295,https://github.com/Veykril/live2d-rs
296,https://github.com/aprokurov/easy_syntax
297,https://github.com/llogiq/mutator
298,https://github.com/philippludwig/my_internet_ip
299,https://github.com/maximeborges/efm32gg990
300,https://github.com/lu_zero/autotools-rs
