,project_name,commits,open_issues,closed_issues,open_pulls,closed_pulls,branches,releases,contributers,stars,forks
0,https://github.com/actix/actix-web,1985,48,312,5,198,8,56,77,2654,174
1,https://github.com/postmates/cernan,406,21,141,0,288,10,80,15,251,13
2,https://github.com/lambdastackio/tokio-http2,29,3,0,1,0,1,0,,43,5
3,https://github.com/ethereumproject/emerald-rs,944,11,92,4,191,24,19,,33,14
4,https://github.com/Xion/cargo-contribute,66,6,3,0,1,1,5,,48,1
5,https://github.com/vitiral/stdcli,4,2,0,0,0,1,0,,12,0
6,https://github.com/tailhook/ciruela,628,1,1,0,0,8,70,,47,1
7,https://github.com/rust-lang/cargo,6938,705,2679,12,2825,23,34,492,3637,829
8,https://github.com/MindFlavor/AzureSDKForRust,485,11,15,0,78,2,28,6,37,12
9,https://github.com/MindFlavor/azure_cosmos_sdk,4,0,0,0,2,1,0,1,1,1
10,https://github.com/flxo/rogcat,307,0,14,0,3,1,15,,63,3
11,https://github.com/koute/cargo-web,342,53,67,4,24,2,30,15,523,35
12,https://github.com/ascii-dresden/asciii,521,24,44,1,18,26,14,,5,5
13,https://github.com/zonyitoo/shadowsocks-rust,581,8,81,0,35,2,42,,810,214
14,https://github.com/spacejam/crack,21,0,0,0,0,1,0,,18,2
15,https://github.com/Gigoteur/PX8,659,23,27,1,18,2,1,,729,32
16,https://github.com/gotham-rs/gotham,1110,39,76,3,166,14,6,24,1014,62
17,https://github.com/portier/portier-broker,430,23,55,1,96,1,2,6,377,11
18,https://github.com/glop-rs/glop,125,0,0,0,0,5,0,,1,1
19,https://github.com/chef/rs-chef-api,100,0,1,1,10,8,0,,4,1
20,https://github.com/MindFlavor/azure_core_sdk,3,0,0,0,0,1,0,,0,1
21,https://github.com/kbknapp/cargo-extras,120,9,8,0,13,5,4,,32,2
22,https://github.com/MindFlavor/azure_sdk_core,,0,0,0,0,,,,,
23,https://github.com/rust-lang-nursery/mdBook,1098,139,289,16,366,11,42,102,1469,220
24,https://github.com/jvns/rbspy,,0,0,0,0,,,,,
25,https://github.com/blackbeam/rust-mysql-simple,800,10,95,3,51,9,36,27,233,49
26,https://github.com/swindon-rs/swindon,763,26,17,0,15,14,31,,66,4
27,https://github.com/dtolnay/cargo-tally,73,12,6,0,2,2,15,,24,1
28,https://github.com/losfair/IceCore,287,7,2,0,2,2,37,,90,6
29,https://github.com/blackbeam/mysql_async,204,1,15,0,12,4,15,,59,8
30,https://github.com/vitiral/artifact,650,37,133,0,69,4,57,20,385,32
31,https://github.com/luanzhu/roadrunner,16,0,0,0,2,1,0,,3,0
32,https://github.com/faradayio/cage,393,26,41,4,19,5,40,,163,13
33,https://github.com/cobalt-org/cobalt.rs,984,50,155,2,327,1,24,38,648,71
34,https://github.com/valeriansaliou/raider,80,0,0,0,0,2,3,1,6,1
35,https://github.com/loggerhead/shadowsocks-rust,254,3,3,0,1,3,0,,156,16
36,https://github.com/emk/substudy,370,14,24,3,4,4,40,,121,13
37,https://github.com/jkcclemens/bins,257,1,35,0,8,2,6,,38,4
38,https://github.com/JohnColanduoni/sandbox-ipc,53,0,1,0,0,1,0,,4,0
39,https://github.com/insanitybit/sqs-service-helper,38,6,2,0,0,1,0,,1,0
40,https://github.com/rickyhan/tectonicdb,368,4,13,2,12,2,5,,138,17
41,https://github.com/kennytm/borsholder,86,0,0,0,0,1,0,,2,0
42,https://github.com/google/tarpc,617,13,66,0,124,5,16,14,775,58
43,https://github.com/samrayleung/rspotify,202,4,3,0,15,2,0,,50,14
44,https://github.com/lambdastackio/httpd,,0,0,0,0,,,,,
45,https://github.com/lambdastackio/klaus,17,0,0,0,0,1,0,,1,2
46,https://github.com/MindFlavor/azure_service_bus_sdk,2,0,0,0,0,1,0,,0,0
47,https://github.com/lukaspustina/rat,167,0,0,11,26,13,22,,2,2
48,https://github.com/str4d/ire,257,14,4,1,33,5,1,,19,2
49,https://github.com/xarxa6/sonicd,303,0,0,0,3,12,0,,1,0
50,https://github.com/xarxa6/sonic-rs,4,1,0,0,0,2,0,,0,0
51,https://github.com/vitiral/rst,2,0,0,0,0,1,0,,1,0
52,https://github.com/CleverCloud/issues-helper,44,8,7,1,2,1,1,3,20,2
53,https://github.com/jeffparsons/planetkit,376,6,4,1,7,5,0,,60,5
54,https://github.com/trezm/fanta,81,4,29,0,55,23,0,7,268,10
55,https://github.com/drahnr/tokio-mqttc,30,2,0,0,0,3,0,,4,1
56,https://github.com/saschagrunert/git-journal,295,2,3,0,5,4,23,2,268,2
57,https://github.com/getsentry/calm,35,1,0,1,0,1,1,,18,3
58,https://github.com/quodlibetor/tabin-plugins,219,0,0,0,15,2,15,,2,0
59,https://github.com/lukaspustina/mhost,136,0,0,10,2,11,8,,4,3
60,https://github.com/silvio/gerrit-rust,251,5,10,0,14,1,24,,4,1
61,https://github.com/serenity-rs/rust-websocket,411,0,0,0,0,9,6,,0,118
62,https://github.com/spacejam/rsdb,814,54,134,2,181,6,3,,1518,50
63,https://github.com/kpcyrd/boxxy-rs,156,9,7,0,27,2,10,,18,2
64,https://github.com/indradb/indradb,536,1,6,1,29,7,12,3,245,11
65,https://github.com/Yamakaky/dcpu,337,6,7,0,2,6,7,,11,2
66,https://github.com/valeriansaliou/vigil,122,4,7,0,2,2,7,,232,14
67,https://github.com/IntrepidPig/orca,134,3,8,0,3,2,0,,9,2
68,https://github.com/gluon-lang/gluon_language-server,233,3,3,0,17,2,9,,14,6
69,https://github.com/exonum/exonum-btc-anchoring,573,6,19,1,110,1,10,,38,15
70,https://github.com/Xion/rofld,120,4,5,1,0,1,1,,35,1
71,https://github.com/canndrew/netsim,181,3,7,2,7,6,0,,27,3
72,https://github.com/seanmonstar/reqwest,386,61,161,2,150,4,27,66,880,160
73,https://github.com/ipetkov/conch-runtime,607,2,1,0,26,2,6,,17,0
74,https://github.com/softprops/cargo-thanks,31,4,2,0,6,1,4,6,124,5
75,https://github.com/tantivy-search/tantivy-cli,107,8,17,0,8,7,7,7,49,14
76,https://github.com/pimeys/rust-web-push,80,1,1,0,2,6,8,,11,2
77,https://github.com/steffengy/tiberius,132,15,50,2,16,2,5,8,93,20
78,https://github.com/cssivision/shadowsocks-rs,73,0,0,1,1,3,17,,8,0
79,https://github.com/altsysrq/ensync,251,0,3,0,0,2,7,,12,0
80,https://github.com/rust-lang-nursery/rustfmt,4109,158,1636,1,1341,14,68,256,1837,369
81,https://github.com/mikeastock/sherpa-cli,121,2,3,0,10,2,7,3,2,1
82,https://github.com/rustyhorde/twisty,33,0,0,0,0,1,8,,0,0
83,https://github.com/pietroalbini/fisher,329,4,7,0,3,6,7,,7,2
84,https://github.com/rust-qt/cpp_to_rust,603,47,21,3,4,2,0,5,309,15
85,https://github.com/lambdastackio/s3lsio,64,0,0,0,0,1,0,,4,2
86,https://github.com/algorithmiaio/algorithmia-rust,233,4,3,0,0,4,17,,13,1
87,https://github.com/eagletmt/guzuta,88,1,1,0,1,1,13,,8,1
88,https://github.com/Keats/gutenberg,678,70,256,7,166,5,21,,1217,108
89,https://github.com/sfackler/log4rs,410,12,39,4,23,2,27,13,192,32
90,https://github.com/inejge/ldap3,334,5,17,0,8,1,9,10,60,15
91,https://github.com/mitum/sincere,126,2,0,0,7,9,0,,49,0
92,https://github.com/rustyhorde/twists,69,2,0,0,0,1,10,,2,0
93,https://github.com/serayuzgur/weld,95,3,16,0,2,1,0,2,73,1
94,https://github.com/kedeggel/dictcc-rust,135,1,0,0,16,3,6,,2,0
95,https://github.com/dylanmckay/polk,65,5,4,0,0,2,3,,6,0
96,https://github.com/jonhoo/faktory-rs,82,4,8,0,4,1,0,,30,4
97,https://github.com/lambdastackio/aws-sdk-rust,74,5,3,3,6,1,0,,17,12
98,https://github.com/getsentry/sentry-rust,348,3,30,2,60,5,25,18,133,19
99,https://github.com/blackbeam/rust_mysql_common,57,1,3,1,1,2,2,,12,1
100,https://github.com/emk/compose_yml,160,1,7,3,4,1,15,,8,5
101,https://github.com/aschampion/rust-n5,49,10,2,0,5,4,5,,0,0
102,https://github.com/sunng87/slacker-rust,89,0,1,0,4,2,11,,3,0
103,https://github.com/Xion/cargo-download,19,2,0,1,0,1,5,,8,1
104,https://github.com/SecurityInsanity/sentry-rs,40,0,2,1,15,1,0,,12,2
105,https://github.com/kpcyrd/narnia,7,1,0,0,1,2,1,,2,0
106,https://github.com/faradayio/alert,14,0,0,0,0,1,1,,0,0
107,https://github.com/jpastuszek/varnishslog,326,5,19,0,0,2,2,,4,0
108,https://github.com/actix/sockjs,51,6,3,1,0,2,4,,34,3
109,https://github.com/xen0n/open189-rs,45,0,0,0,0,2,2,,2,0
110,https://github.com/lloydmeta/sloword2vec-rs,6,0,0,0,1,1,1,,2,0
111,https://github.com/iorust/rocksd,4,0,0,1,0,1,0,,0,0
112,https://github.com/rust-keylock/rust-keylock-lib,77,1,1,0,0,2,7,,5,0
113,https://github.com/itpkg/aries,27,0,0,0,0,4,1,,2,1
114,https://github.com/Michael-F-Bryan/repo-backup,55,4,0,0,2,1,4,,7,0
115,https://github.com/korczis/maze-rs,52,7,0,0,1,3,0,,2,0
116,https://github.com/kpcyrd/tr1pd,108,11,4,0,11,2,4,,12,1
117,https://github.com/QuietMisdreavus/twitter-rs,486,8,18,1,20,6,14,,98,18
118,https://github.com/brocode/fw,437,2,31,1,37,8,68,4,39,3
119,https://github.com/DanielKeep/cargo-script,177,19,30,1,13,15,13,5,284,9
120,https://github.com/dbrgn/tealdeer,150,5,12,3,34,5,5,8,199,16
121,https://github.com/valeriansaliou/bloom,384,1,3,0,2,2,25,3,85,10
122,https://github.com/0X1A/yabs,225,0,24,0,1,3,9,,1,1
123,https://github.com/faradayio/bigml-rs,128,0,0,0,6,2,13,,0,1
124,https://github.com/alexjg/citymapper-rs,8,0,0,0,0,1,0,,2,0
125,https://github.com/InQuicker/kaws,285,5,6,0,2,2,13,,122,12
126,https://github.com/aldrin/git-changelog,28,1,1,0,15,1,5,,9,0
127,https://github.com/postlight/mercury-rs,12,0,0,0,0,1,0,,11,1
128,https://github.com/tamarahills/metrics_controller,122,0,63,0,61,36,0,,5,2
129,https://github.com/messense/bosonnlp-rs,89,0,0,0,2,2,10,,10,0
130,https://github.com/mayah/zircon.rs,8,0,0,0,0,1,2,,5,0
131,https://github.com/faradayio/geochunk,18,1,2,0,0,1,2,1,3,1
132,https://github.com/faradayio/conductor,393,26,41,4,19,5,40,,163,13
133,https://github.com/melt-umn/monto-rs,80,0,0,0,0,6,0,,0,0
134,https://github.com/mersinvald/batch_resolve,57,1,7,0,3,2,13,,15,1
135,https://github.com/cssivision/ytdl,81,0,1,0,0,1,3,,8,0
136,https://github.com/bluejekyll/trust-dns,1134,88,154,3,348,40,38,,913,82
137,https://github.com/anowell/kubeclient-rs,46,2,1,0,7,1,0,,23,9
138,https://github.com/Aaronepower/tokei,400,17,122,4,135,2,36,78,1424,108
139,https://github.com/njaremko/podcast,74,0,1,0,0,2,0,,3,1
140,https://github.com/ceph/ceph-rust,190,0,2,0,33,1,9,,32,11
141,https://github.com/cedenday/rshare,,0,0,0,0,,,,,
142,https://github.com/sourcefrog/conserve,1274,18,36,0,14,8,8,,38,5
143,https://github.com/DaseinPhaos/arendur,70,0,0,0,0,1,0,,0,0
144,https://github.com/weiznich/crates-mirror,16,0,1,0,0,1,1,,4,1
145,https://github.com/lukaspustina/service-world,83,1,0,10,46,11,7,,2,1
146,https://github.com/spacejam/void,194,5,7,0,3,3,0,,305,13
147,https://github.com/awestlake87/sc2-rs,293,4,33,0,10,5,13,,1,1
148,https://github.com/tomaka/rouille,393,27,32,5,130,5,0,22,370,38
149,https://github.com/daboross/rust-screeps-api,242,2,0,0,0,1,8,,7,1
150,https://github.com/faradayio/scrubcsv,20,2,1,2,0,2,3,1,25,2
151,https://github.com/yuri91/overbot,30,0,0,0,0,2,0,,2,0
152,https://github.com/softprops/porteurbars,105,7,9,1,2,2,9,,15,5
153,https://github.com/gadomski/sbd-rs,194,0,4,0,5,4,15,,2,0
154,https://github.com/tailhook/bulk,130,0,0,0,0,2,18,,7,1
155,https://github.com/FuGangqiang/mdblog.rs,182,2,18,0,1,2,0,,11,3
156,https://github.com/cosmo0920/grnenv-rs,189,1,2,0,0,1,4,,0,0
157,https://github.com/cmsd2/stscli,22,0,2,0,0,1,3,,0,0
158,https://github.com/3Hren/cocaine-framework-rust,247,2,1,0,22,5,0,,6,2
159,https://github.com/Metaswitch/swagger-rs,238,4,9,0,38,4,14,,15,7
160,https://github.com/boxdot/github-issues-export-rs,10,2,0,0,0,4,0,,2,0
161,https://github.com/Michael-F-Bryan/mdbook-linkcheck,58,1,1,1,3,2,7,,7,3
162,https://github.com/trishume/syntect,568,22,55,8,136,14,14,27,463,40
163,https://github.com/softprops/travis,20,2,0,0,0,2,2,,3,0
164,https://github.com/nikomatsakis/cargo-chrono,25,0,0,0,2,1,0,,2,2
165,https://github.com/tectonic-typesetting/tectonic,1800,46,70,3,130,2,12,14,1221,34
166,https://github.com/rethinkdb-rs/reql,2883,17,14,0,7,2,13,,75,10
167,https://github.com/yobicash/libyobicash,29,0,2,0,4,8,0,,0,0
168,https://github.com/tailhook/lithos,559,1,12,0,5,5,74,,73,3
169,https://github.com/fintelia/terra,244,0,4,0,0,7,0,,25,0
170,https://github.com/actix/actix,661,9,69,2,81,5,31,39,1806,116
171,https://github.com/polachok/libvirt-rpc,228,4,4,0,54,12,12,,10,0
172,https://github.com/libpasta/libpasta,55,2,2,0,4,3,0,,39,2
173,https://github.com/onur/acme-client,135,2,12,3,22,1,26,,148,17
174,https://github.com/pwoolcoc/theca,354,5,0,0,18,20,0,,11,19
175,https://github.com/emabee/rust-hdbconnect,139,0,0,0,3,1,0,,3,1
176,https://github.com/boxdot/letterboxd-rs,43,1,2,1,8,3,2,,2,0
177,https://github.com/lambdastackio/azure-sdk-rust,3,1,0,0,0,1,0,,1,0
178,https://github.com/FraGag/feeds-to-pocket,47,0,1,0,0,1,6,,4,0
179,https://github.com/stemjail/stemjail,303,1,2,0,1,2,2,,35,3
180,https://github.com/abonander/anterofit,300,6,5,0,5,8,0,,116,6
181,https://github.com/dmizuk/twitter-stream-rs,238,1,10,0,8,5,24,,24,5
182,https://github.com/thecoshman/http,173,7,54,0,13,4,12,,52,4
183,https://github.com/sorpaas/devp2p-rs,103,3,11,0,0,1,1,,6,0
184,https://github.com/wisespace-io/nsqueue,16,1,0,0,0,1,2,,9,1
185,https://github.com/burtonageo/cargo-bundle,192,10,20,0,41,7,4,,89,8
186,https://github.com/vitiral/novault,46,0,6,0,4,4,0,,32,3
187,https://github.com/threatstack/shush,39,0,0,0,16,2,2,,3,1
188,https://github.com/softprops/hubcaps,589,15,68,2,75,21,33,,112,32
189,https://github.com/doomsplayer/sidekiq-rs,88,0,1,0,2,3,1,,13,2
190,https://github.com/simia-tech/rust-delix,173,3,58,0,2,2,7,,12,1
191,https://github.com/nielsegberts/rust-monzo,25,0,1,0,0,1,0,,2,0
192,https://github.com/kpcyrd/nessus-rs,32,0,0,0,0,1,9,,1,0
193,https://github.com/snipsco/dinghy,419,10,16,0,45,6,51,,120,10
194,https://github.com/softprops/foursquare,45,1,3,0,0,3,14,,0,0
195,https://github.com/adnanademovic/xml-rpc-rs,37,0,0,0,1,1,0,,1,1
196,https://github.com/dermesser/yup-oauth2,246,4,31,1,38,6,26,,40,20
197,https://github.com/the-tetanus-clinic/rasputin,135,17,3,1,12,6,0,2,64,2
198,https://github.com/pitkley/dfw,378,0,0,0,0,3,12,,2,0
199,https://github.com/kpcyrd/sniffglue,191,5,7,0,38,2,10,,176,6
200,https://github.com/musec/clowder,193,5,7,0,1,5,7,1,0,1
201,https://github.com/chill-rs/chill,131,25,32,1,2,3,6,3,23,3
202,https://github.com/adnanademovic/rosrust,285,12,20,0,23,2,10,3,124,12
203,https://github.com/tomusdrw/rust-web3,161,39,37,1,89,5,8,19,126,59
204,https://github.com/int08h/roughenough,106,1,3,0,7,2,12,,68,5
205,https://github.com/lawliet89/rowdy,156,12,16,0,55,2,8,,21,4
206,https://github.com/twitter/rpc-perf,237,8,32,1,125,1,4,7,265,32
207,https://github.com/lukaspustina/rs-collector,193,1,2,10,32,14,17,,3,2
208,https://github.com/spietika/restson-rust,44,0,5,0,4,1,7,5,47,5
209,https://github.com/mcginty/shoop,208,19,13,0,6,5,11,,328,14
210,https://github.com/manuels/bulletinboard-dht,62,5,1,0,0,4,8,1,84,3
211,https://github.com/sozu-proxy/sozu,1934,107,291,5,152,16,25,23,710,53
212,https://github.com/easy-semver/calcver-cli,32,9,7,1,4,2,2,,0,0
213,https://github.com/amzn/askalono,116,3,21,0,8,2,4,,108,9
214,https://github.com/dlecan/generic-dns-update,156,9,9,0,0,1,6,,4,5
215,https://github.com/drone-os/cargo-drone,15,0,0,0,0,1,10,,1,1
