Name,Repository_URL
actix-web,https://github.com/actix/actix-web
cernan,https://github.com/postmates/cernan
emerald-core,https://github.com/ethereumproject/emerald-rs
cargo,https://github.com/rust-lang/cargo
azure_sdk_for_rust,https://github.com/MindFlavor/AzureSDKForRust
cargo-web,https://github.com/koute/cargo-web
shadowsocks-rust,https://github.com/zonyitoo/shadowsocks-rust
gotham,https://github.com/gotham-rs/gotham
portier_broker,https://github.com/portier/portier-broker
mdbook,https://github.com/rust-lang-nursery/mdBook
mysql,https://github.com/blackbeam/rust-mysql-simple
artifact-app,https://github.com/vitiral/artifact
cobalt-bin,https://github.com/cobalt-org/cobalt.rs
tarpc,https://github.com/google/tarpc
rat,https://github.com/lukaspustina/rat
ire,https://github.com/str4d/ire
fanta,https://github.com/trezm/fanta
rsdb,https://github.com/spacejam/rsdb
boxxy,https://github.com/kpcyrd/boxxy-rs
indradb-lib,https://github.com/indradb/indradb
exonum-btc-anchoring,https://github.com/exonum/exonum-btc-anchoring
reqwest,https://github.com/seanmonstar/reqwest
conch-runtime,https://github.com/ipetkov/conch-runtime
rustfmt,https://github.com/rust-lang-nursery/rustfmt
gutenberg,https://github.com/Keats/gutenberg
log4rs,https://github.com/sfackler/log4rs
sentry,https://github.com/getsentry/sentry-rust
fw,https://github.com/brocode/fw
tealdeer,https://github.com/dbrgn/tealdeer
metrics-controller,https://github.com/tamarahills/metrics_controller
trust-dns,https://github.com/bluejekyll/trust-dns
tokei,https://github.com/Aaronepower/tokei
ceph,https://github.com/ceph/ceph-rust
service_world,https://github.com/lukaspustina/service-world
rouille,https://github.com/tomaka/rouille
swagger,https://github.com/Metaswitch/swagger-rs
syntect,https://github.com/trishume/syntect
tectonic,https://github.com/tectonic-typesetting/tectonic
actix,https://github.com/actix/actix
libvirt-rpc,https://github.com/polachok/libvirt-rpc
cargo-bundle,https://github.com/burtonageo/cargo-bundle
hubcaps,https://github.com/softprops/hubcaps
dinghy,https://github.com/snipsco/dinghy
yup-oauth2,https://github.com/dermesser/yup-oauth2
sniffglue,https://github.com/kpcyrd/sniffglue
web3,https://github.com/tomusdrw/rust-web3
rowdy,https://github.com/lawliet89/rowdy
rpc-perf,https://github.com/twitter/rpc-perf
rs-collector,https://github.com/lukaspustina/rs-collector
sozu-lib,https://github.com/sozu-proxy/sozu
